Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Dress_Type,Price_Category,Size_Count,Rating_Category,Dress_Type_Encoded
Floral Printed Maxi Ethnic Dress,Biba,1039,0.0,62.0,1039.0,Maxi,Round Neck,0,Regular Sleeves,Maxi,"S, M, L, XL, XXL",4,Yes,Polyester,https://www.myntra.com/ethnic-dresses/biba/biba-floral-printed-maxi-ethnic-dress/25073006/buy,Traditional,Traditional,High,5,Low,3
Floral Printed Cotton Anarkali Maternity Dress,MURLI KURTI,495,0.0,1400.0,495.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-cotton-anarkali-maternity-dress/30742681/buy,Casual,Traditional,Low,4,Low,3
Floral Ethnic A-Line Maxi Ethnic Dress,Gerua By Libas,439,0.0,226.0,439.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,XS,3,No,Silk,https://www.myntra.com/ethnic-dresses/gerua+by+libas/gerua-by-libas-floral-ethnic-a-line-maxi-ethnic-dress/21325200/buy,Party Wear,Traditional,Low,1,Low,3
FOXDX Women Floral Embroidered Anarkali Ethnic Dress,FoxDX,891,0.0,287.0,891.0,Maxi,Sweetheart Neck,0,0,Maxi,M,4,No,Georgette,https://www.myntra.com/ethnic-dresses/foxdx/foxdx-women-floral-embroidered-anarkali-ethnic-dress/38451535/buy,Party Wear,Traditional,Medium,1,Low,3
Floral Embroidered A-Line Maxi Ethnic Dresses,Inddus,1606,0.0,194.0,1606.0,Maxi,Round Neck,Short Sleeves,0,A-Line,"XS, S, M, L, XL, XXL",3,No,Net,https://www.myntra.com/ethnic-dresses/inddus/inddus-floral-embroidered--a-line-maxi-ethnic-dresses/30659051/buy,Party Wear,Traditional,High,6,Low,3
Floral Printed Pure Cotton Fit & Flare Midi Dress,Rain & Rainbow,1147,0.0,279.0,1147.0,Midi,Mandarin Collar,Three-Quarter Sleeves,Regular Sleeves,0,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-pure-cotton-fit--flare-midi-dress/29918666/buy,Casual,Casual,High,5,Low,0
Floral Printed A-Line Maxi Ethnic Dress With Belt,anayna,1497,0.0,3700.0,1497.0,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-a-line-maxi-ethnic-dress-with-belt/30745318/buy,Traditional,Traditional,High,7,Low,3
Women Floral Printed Empire Ethnic Dress,Ahalyaa,1214,0.0,769.0,1214.0,Midi,V-Neck,0,0,0,"XS, S, M, L, XL, XXL",3,No,Crepe,https://www.myntra.com/ethnic-dresses/ahalyaa/ahalyaa-women-floral-printed-empire-ethnic-dress/23814298/buy,Traditional,Traditional,High,6,Low,3
Maroon Gold Floral Maxi Ethnic Dress Cut-Out with Tassels,Ethnovog,2513,0.0,0.0,2513.0,Maxi,Boat Neck,Three-Quarter Sleeves,0,Maxi,"XS, M, XL, 3XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-maroon--gold-floral-maxi-ethnic-dress-cut-out-with-tassels/19791600/buy,Traditional,Traditional,High,4,Low,3
Floral Printed Round Neck Zipless Maternity Ethnic Dresses,RITIJYA,681,0.0,19.0,681.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L, XL, XXL, 3XL, 4XL",4,No,"Viscose Rayon, Viscose Rayon, Viscose Rayon",https://www.myntra.com/ethnic-dresses/ritijya/ritijya-floral-printed-round-neck-zipless-maternity-ethnic-dresses/32572538/buy,Traditional,Traditional,Medium,7,Low,3
